abstract_text,label,title,keywords
"The coagulase-negative bacterium Staphylococcus epidermidis is a member of the human skin microbiota. S. epidermidis is not merely a passive resident on skin but actively primes the cutaneous immune response, maintains skin homeostasis and prevents opportunistic pathogens from causing disease via colonization resistance. However, it is now appreciated that S. epidermidis and its interactions with the host exist on a spectrum of potential pathogenicity derived from its high strain-level heterogeneity. S. epidermidis is the most common cause of implantassociated infections and is a canonical opportunistic biofilm former. Additional emerging evidence suggests that some strains of S. epidermidis may contribute to the pathogenesis of common skin diseases. Here, we highlight new developments in our understanding of S. epidermidis strain diversity, skin colonization dynamics and its multifaceted interactions with the host and other members of the skin microbiota.",1,Staphylococcus epidermidis and its dual lifestyle in skin health and infection,
"Ectomycorrhizas of S-month-old Pinus patula plants grown in autoclaved shola soil (forest soil) inoculated with basidiospores of Amanita muscaria, Laccaria laccata and Suillus brevipes are described. The main emphasis is on the organisation of the mantle tissue as seen in plan view and features of associated hyphae and strands. The different layers in the mantle produced by the different fungi are described and illustrated.",0,"Anatomical studies on ectomycorrhizas: {II}. {The} ectomycorrhizas produced by {Amanita} muscaria, {Laccaria} laccata and {Suillus} brevipes on {Pinuspatula}",
"This work presents the first anatomical description of the mycorrhizal systems of Helianthemum almeriense, and of the structure and ultrastructure of the mycorrhizae formed by this plant species with the ascomycetes Terfezia claveryi and Picoa lefebvrei. Four different mycorrhizal systems are described, the clubshaped mycorrhiza being the most abundant. The type of mycorrhiza formed depended on the mycorrhiza culture conditions, but not on the fungal species. For both fungal species, H. almeriense formed an endomycorrhiza in natural field conditions, an ecto- and ectendomycorrhiza without a sheath in pot cultures, and an ectomycorrhiza with a characteristic sheath and Hartig net in in vitro cultures. This is the first report of a typical sheath in Helianthemum-desert truffle mycorrhizal associations. The results support the idea that culture conditions can induce changes in mycorrhiza morphology and that there is no clear barrier between the two main types of mycorrhiza organization in Helianthemum species. The ultrastructural study confirmed the regular presence of T. claveryi intracellular hyphae in direct contact with the host wall, a localization which seems to be a characteristic of the T. claveryi mycorrhiza organization. The P. lefebvrei mycorrhiza organization was characterized by intracellular hyphae with large amounts of electron-dense globules, probably with a lipidic content, and a warty ornamentation on the wall of the root external hyphae.",0,Morphological characterization of the mycorrhiza formed by {Helianthemum} almeriense {Pau} with {Terfezia} claveryi {Chatin} and {Picoa} lefebvrei ({Pat}.) {Maire},
"Apple trees [ Malus domestica Borkh. ( Rosaceae )] are one of the important temperate fruit crops in China. In comparison to other temperate fruits, such as grapes and pears, fungal studies (in Yunnan) associated with M. domestica are fewer in number. In the present study, we investigated fungi associated with M. domestica in Qujing City, Yunnan Province, China. Samples were collected from apple gardens in different locations. Single spore isolation was carried out to isolate saprobic fungi, while the surface sterilization method was carried out to isolate endophytic fungi. Molecular analyses were carried out to determine the phylogenetic placement of the new collections. Based on the combined methods of morphology and phylogeny, Cytospora qujingensis sp. nov. and Hypoxylon malongense sp. nov. are introduced as novel saprobic and endophytic taxa, respectively. Moreover, Aureobasidium pullulans and Cytospora schulzeri are reported as new geological records from southwestern China. Allocryptovalsa castaneae is reported on M. domestica in China for the first time. The checklist of fungi associated with M. domestica in China is presented.",1,"Fungi from {Malus} in {Qujing}, {China}: two new species, three new records, and insights into potential host jumping and lifestyle switching",
"• Lichenization is one of the most important fungal lifestyles and lichen fungi are assumed to form obligate symbioses with their photobionts. Here we test if lichenized and non-lichenized samples in three cases of closely related lichenized Conotrema and saprotrophic Stictis (Stictidaceae, Ostropales, Ascomycota) in northern Scandinavia, form distinct monophyletic groups (= species). • We applied phylogenetic species recognition, by analysing fungal DNA sequence data from four independent genomic markers. • Separate parsimony and parsimony jack-knifing analyses of three independent genes are congruent and result in intermixed groups of lichenized and saprotrophic specimens. The sequence variation in an intron also supports this. Our results suggest that all three cases represent independent fungal phylogenetic species, which can undergo their whole sexual lifecycle either as lichens or as saprotrophs. • The use of different nutritional modes – optional lichenization – allows separate individuals to exploit different niches during the forest succession. We suggest that this environmental plasticity may be common in the Stictidaceae, and propose that it is an overlooked strategy in fungi adapted to unpredictable successional ecosystems.",1,Saprotrophy and lichenization as options for the same fungal species on different substrata: environmental plasticity and fungal lifestyles in the {Stictis–{Conotrema}} complex,
"Summary Fungi interact with their environment by secreting proteins to obtain nutrients, elicit responses and modify their surroundings. Because the set of proteins secreted by a fungus is related to its lifestyle, it should be possible to use it as a tool to predict fungal lifestyle. To test this hypothesis, we bioinformatically identified 538 and 554 secretable proteins in the monokaryotic strains PC9 and PC15 of the white rot basidiomycete Pleurotus ostreatus . Functional annotation revealed unknown functions (37.2\%), glycosyl hydrolases (26.5\%) and redox enzymes (11.5\%) as the main groups in the two strains. When these results were combined with RNA‐seq analyses, we found that the relative importance of each group was different in different strains and culture conditions and the relevance of the unknown function proteins was enhanced. Only a few genes were actively expressed in a given culture condition in expanded multigene families, suggesting that family expansi on could increase adaptive opportunities rather than activity under a specific culture condition. Finally, we used the set of P. ostreatus secreted proteins as a query to search their counterparts in other fungal genomes and found that the secretome profiles cluster the tested basidiomycetes into lifestyle rather than phylogenetic groups.",1,Comparative and transcriptional analysis of the predicted secretome in the lignocellulose‐degrading basidiomycete fungus {Pleurotus ostreatus},
"The genus Diaporthe encompasses important plant pathogens, endophytes, and saprobes that are widely distributed in tropical and temperate regions. An accurate detection and identiﬁcation of plant pathogens not only allows correct disease diagnosis but also increases the accuracy of taxonomic ambiguities for fungal-plant interactions purposes. Multi-omics approaches applied to this genus may represent valuable tools to unravel molecular mechanisms involved in the infection processes. Additionally, omics can provide adaptation patterns that make pathogens thrive under changing environmental conditions, and insights into the dual pathogen-endophyte lifestyle. Therefore, all published data covered in this literature review represents an important contribution to deepen the knowledge on the importance of omics in fungal-plant interactions. This accumulating evidence will speed up the research on formulating new strategies to control plant pathologies, to assist in the exploitation of endophytes for their function in plant hosts, and to underline molecular factors of fungal pathogenicity and endophytism in the genus Diaporthe.",1,Mechanisms {Underlying} the {Pathogenic} and {Endophytic} {Lifestyles} in {Diaporthe}: {An} {Omics}-{Based} {Approach},
"Abstract Microorganisms play a crucial role in the biological decomposition of plant litter in terrestrial ecosystems. Due to the permanently changing litter quality during decomposition, studies of both fungi and bacteria at a fine taxonomic resolution are required during the whole process. Here we investigated microbial community succession in decomposing leaf litter of temperate beech forest using pyrotag sequencing of the bacterial 16S and the fungal internal transcribed spacer ( ITS ) rRNA genes. Our results reveal that both communities underwent rapid changes. Proteobacteria, Actinobacteria and Bacteroidetes dominated over the entire study period, but their taxonomic composition and abundances changed markedly among sampling dates. The fungal community also changed dynamically as decomposition progressed, with ascomycete fungi being increasingly replaced by basidiomycetes. We found a consistent and highly significant correlation between bacterial richness and fungal richness ( R = 0.76, P {<} 0.001) and community structure ( R M antel = 0.85, P {<} 0.001), providing evidence of coupled dynamics in the fungal and bacterial communities. A network analysis highlighted nonrandom co‐occurrences among bacterial and fungal taxa as well as a shift in the cross‐kingdom co‐occurrence pattern of their communities from the early to the later stages of decomposition. During this process, macronutrients, micronutrients, C:N ratio and pH were significantly correlated with the fungal and bacterial communities, while bacterial richness positively correlated with three hydrolytic enzymes important for C, N and P acquisition. Overall, we provide evidence that the complex litter decay is the result of a dynamic cross‐kingdom functional succession.",0,Life in leaf litter: novel insights into community dynamics of bacteria and fungi during litter decomposition,
"This review examines the symbiotic, evolutionary, proteomic and genetic basis for a group of fungi that occupy a specialized niche as insect pathogens as well as endophytes. We focus primarily on species in the genera Metarhizium and Beauveria, traditionally recognized as insect pathogenic fungi but are also found as plant symbionts. Phylogenetic evidence suggests that these fungi are more closely related to grass endophytes and diverged from that lineage ca. 100 MYA. We explore how the dual life cycles of these fungi as insect pathogens and endophytes are coupled. We discuss the evolution of insect pathogenesis while maintaining an endophytic lifestyle and provide examples of genes that may be involved in the transition toward insect pathogenicity. That is, some genes for insect pathogenesis may have been co-opted from genes involved in endophytic colonization. Other genes may be multifunctional and serve in both lifestyle capacities. We suggest that their evolution as insect pathogens allowed them to effectively barter a specialized nitrogen source (i.e. insects) with host plants for photosynthate. These ubiquitous fungi may play an important role as plant growth promoters and have a potential reservoir of secondary metabolites.",1,Fungi with multifunctional lifestyles: endophytic insect pathogenic fungi,
"Dollar spot is one of the most destructive and economically important fungal diseases of amenity turfgrasses. The causal agent was first described in 1937 as the ascomycete Sclerotinia homoeocarpa. However, the genus-level taxonomic placement of this fungus has been the subject of an ongoing debate for over 75 y. Existing morphological and rDNA sequence evidence indicates that this organism is more appropriately placed in the family Rutstroemiaceae rather than the Sclerotiniaceae. Here we use DNA sequence data from samples of the dollar spot fungus and other members of the Rutstroemiaceae (e.g. Rutstroemia, Lanzia, Lambertella) collected throughout the world to determine the generic identity of the turfgrass dollar spot pathogen. Phylogenetic evidence from three nucleotide sequence markers (CaM, ITS and Mcm7; 1810-bp) confirmed that S. homoeocarpa is not a species of Sclerotinia; nor is it a member of any known genus in the Rutstroemiaceae. These data support the establishment of a new genus, which we describe here as Clarireedia gen. nov. The type species for the genus, Clarireedia homoeocarpa comb. nov., is described to accommodate the dollar spot fungus, and a neotype is designated. Three new species in this clade, Clarireedia bennettii sp. nov., Clarireedia jacksonii sp. nov., and Clarireedia monteithiana sp. nov. that also cause dollar spot disease are described. Clarireedia homoeocarpa and C. bennettii occur primarily on Festuca rubra (C3 grass) hosts and appear to be restricted to the United Kingdom. Clarireedia jacksonii and C. monteithiana occur on a variety of C3 and C4 grass hosts, respectively, and appear to be globally distributed. This resolved taxonomy puts to rest a major controversy amongst plant pathologists and provides a foundation for better understanding the nature and biology of these destructive pathogens.",0,Clarireedia: {A} new fungal genus comprising four pathogenic species responsible for dollar spot disease of turfgrass,
"Septoria represents a genus of plant pathogenic fungi with a wide geographic distribution, commonly associated with leaf spots and stem cankers of a broad range of plant hosts. A major aim of this study was to resolve the phylogenetic generic limits of Septoria, Stagonospora, and other related genera such as Sphaerulina, Phaeosphaeria and Phaeoseptoria using sequences of the the partial 28S nuclear ribosomal RNA and RPB2 genes of a large set of isolates. Based on these results Septoria is shown to be a distinct genus in the Mycosphaerellaceae, which has mycosphaerella-like sexual morphs. Several septoria-like species are now accommodated in Sphaerulina, a genus previously linked to this complex. Phaeosphaeria (based on P. oryzae) is shown to be congeneric with Phaeoseptoria (based on P. papayae), which is reduced to synonymy under the former. Depazea nodorum (causal agent of nodorum blotch of cereals) and Septoria avenae (causal agent of avenae blotch of barley and rye) are placed in a new genus, Parastagonospora, which is shown to be distinct from Stagonospora (based on S. paludosa) and Phaeosphaeria. Partial nucleotide sequence data for five gene loci, ITS, LSU, EF-1α, RPB2 and Btub were generated for all of these isolates. A total of 47 clades or genera were resolved, leading to the introduction of 14 new genera, 36 new species, and 19 new combinations. Taxonomic novelties: New genera – Acicuseptoria Quaedvlieg, Verkley \& Crous, Cylindroseptoria Quaedvlieg, Verkley \& Crous, Kirstenboschia Quaedvlieg, Verkley \& Crous, Neoseptoria Quaedvlieg, Verkley \& Crous, Neostagonospora Quaedvlieg, Verkley \& Crous, Parastagonospora Quaedvlieg, Verkley \& Crous, Polyphialoseptoria Quaedvlieg, R.W. Barreto, Verkley \& Crous, Ruptoseptoria Quaedvlieg, Verkley \& Crous, Septorioides Quaedvlieg, Verkley \& Crous, Setoseptoria Quaedvlieg, Verkley \& Crous, Stromatoseptoria Quaedvlieg, Verkley \& Crous, Vrystaatia Quaedvlieg, W.J. Swart, Verkley \& Crous, Xenobotryosphaeria Quaedvlieg, Verkley \& Crous, Xenoseptoria Quaedvlieg, H.D. Shin, Verkley \& Crous. New species - Acicuseptoria rumicis Quaedvlieg, Verkley \& Crous, Caryophylloseptoria pseudolychnidis Quaedvlieg, H.D. Shin, Verkley \& Crous, Coniothyrium sidae Quaedvlieg, Verkley, R.W. Barreto \& Crous, Corynespora leucadendri Quaedvlieg, Verkley \& Crous, Cylindroseptoria ceratoniae Quaedvlieg, Verkley \& Crous, Cylindroseptoria pistaciae Quaedvlieg, Verkley \& Crous, Kirstenboschia diospyri Quaedvlieg, Verkley \& Crous, Neoseptoria caricis Quaedvlieg, Verkley \& Crous, Neostagonospora caricis Quaedvlieg, Verkley \& Crous, Neostagonospora elegiae Quaedvlieg, Verkley \& Crous, Paraphoma dioscoreae Quaedvlieg, H.D. Shin, Verkley \& Crous, Parastagonospora caricis Quaedvlieg, Verkley \& Crous, Parastagonospora poae Quaedvlieg, Verkley \& Crous, Phlyctema vincetoxici Quaedvlieg, Verkley \& Crous, Polyphialoseptoria tabebuiae-serratifoliae Quaedvlieg, Alfenas \& Crous, Polyphialoseptoria terminaliae Quaedvlieg, R.W. Barreto, Verkley \& Crous, Pseudoseptoria collariana Quaedvlieg, Verkley \& Crous, Pseudoseptoria obscura Quaedvlieg, Verkley \& Crous, Sclerostagonospora phragmiticola Quaedvlieg, Verkley \& Crous, Septoria cretae Quaedvlieg, Verkley \& Crous, Septoria glycinicola Quaedvlieg, H.D. Shin, Verkley \& Crous, Septoria oenanthicola Quaedvlieg, H.D. Shin, Verkley \& Crous, Septoria pseudonapelli Quaedvlieg, H.D. Shin, Verkley \& Crous, Setophoma chromolaenae Quaedvlieg, Verkley, R.W. Barreto \& Crous, Setoseptoria phragmitis Quaedvlieg, Verkley \& Crous, Sphaerulina amelanchier Quaedvlieg, Verkley \& Crous, Sphaerulina pseudovirgaureae Quaedvlieg, Verkley \& Crous, Sphaerulina viciae Quaedvlieg, H.D. Shin, Verkley \& Crous, Stagonospora duoseptata Quaedvlieg, Verkley \& Crous, Stagonospora perfecta Quaedvlieg, Verkley \& Crous, Stagonospora pseudocaricis Quaedvlieg, Verkley, Gardiennet \& Crous, Stagonospora pseudovitensis Quaedvlieg, Verkley \& Crous, Stagonospora uniseptata Quaedvlieg, Verkley \& Crous, Vrystaatia aloeicola Quaedvlieg, Verkley, W.J. Swart \& Crous, Xenobotryosphaeria calamagrostidis Quaedvlieg, Verkley \& Crous, Xenoseptoria neosaccardoi Quaedvlieg, H.D. Shin, Verkley \& Crous. New combinations - Parastagonospora avenae (A.B. Frank) Quaedvlieg, Verkley \& Crous, Parastagonospora nodorum (Berk.) Quaedvlieg, Verkley \& Crous, Phaeosphaeria papayae (Speg.) Quaedvlieg, Verkley \& Crous, Pseudocercospora domingensis (Petr. \& Cif.) Quaedvlieg, Verkley \& Crous, Ruptoseptoria unedonis (Roberge ex Desm.) Quaedvlieg, Verkley \& Crous, Septorioides pini-thunbergii (S. Kaneko) Quaedvlieg, Verkley \& Crous, Sphaerulina abeliceae (Hiray.) Quaedvlieg, Verkley \& Crous, Sphaerulina azaleae (Voglino) Quaedvlieg, Verkley \& Crous, Sphaerulina berberidis (Niessl) Quaedvlieg, Verkley \& Crous, Sphaerulina betulae (Pass.) Quaedvlieg, Verkley \& Crous, Sphaerulina cercidis (Fr.) Quaedvlieg, Verkley \& Crous, Sphaerulina menispermi (Thüm.) Quaedvlieg, Verkley \& Crous, Sphaerulina musiva (Peck) Quaedvlieg, Verkley \& Crous, Sphaerulina oxyacanthae (Kunze \& J.C. Schmidt) Quaedvlieg, Verkley \& Crous, Sphaerulina patriniae (Miura) Quaedvlieg, Verkley \& Crous, Sphaerulina populicola (Peck) Quaedvlieg, Verkley \& Crous, Sphaerulina quercicola (Desm.) Quaedvlieg, Verkley \& Crous, Sphaerulina rhabdoclinis (Butin) Quaedvlieg, Verkley \& Crous, Stromatoseptoria castaneicola (Desm.) Quaedvlieg, Verkley \& Crous. Typifications: Epitypifications - Phaeosphaeria oryzae I. Miyake, Phaeoseptoria papayae Speg.; Neotypification - Hendersonia paludosa Sacc. \& Speg.",0,Sizing up {Septoria},
